Programme Name,University Name,Location,Programme Code,Cut-off 2017,Cut-off 2018,Cut-off 2019,Cut-off 2020,Cut-off 2021,Cut-off 2022,Cut-off 2023
BACHELOR OF EDUCATION (ARTS),MURANG'A UNIVERSITY OF TECHNOLOGY,Murang’a County,1246135,24.999,26.277,28.582,28.984,25.738,26.856,28.166
BACHELOR OF EDUCATION (ARTS),KCA UNIVERSITY,Nairobi County,1103135,,24.848,28.926,28.665,27.889,22.358,24.216
BACHELOR OF EDUCATION (ARTS),PIONEER INTERNATIONAL UNIVERSITY,Unknown,1264135,,24.255,24.251,23.749,22.636,22.358,21.858
BACHELOR OF EDUCATION ARTS,ZETECH UNIVERSITY,Kiambu County,1425135,,24.072,26.851,27.096,24.253,22.358,23.305
BACHELOR OF EDUCATION (ARTS),KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,Unknown,1460135,,24.728,24.316,24.003,22.636,22.358,21.858
BACHELOR OF EDUCATION (ARTS),UMMA UNIVERSITY,Unknown,1485135,,24.005,24.594,24.897,24.305,,
BACHELOR OF EDUCATION ARTS,THARAKA UNIVERSITY,Tharaka-Nithi County,1685135,,23.897,23.976,26.34,22.636,22.358,26.777
BACHELOR OF EDUCATION ARTS,BOMET UNIVERSITY COLLEGE,Unknown,1700135,,24.419,26.05,27.545,23.019,25.757,26.78
BACHELOR OF EDUCATION (ARTS),KOITALEEL SAMOEI UNIVERSITY COLLEGE,Unknown,3890135,,23.747,25.494,26.594,22.636,23.272,26.62
BACHELOR OF EDUCATION ARTS,ISLAMIC UNIVERSITY OF KENYA,Unknown,3895135,,24.26,26.442,23.758,22.636,22.358,21.858
"BACHELOR OF EDUCATION ARTS (HISTORY, CRE, GEOGRAPHY, ENGLISH, KISWAHILI,
MATHEMATICS, BUSINESS STUDIES)",KIRINYAGA UNIVERSITY,Kirinyaga County,1079135,,,28.013,29.445,28.95,,
BACHELOR OF EDUCATION ARTS,MANAGEMENT UNIVERSITY OF AFRICA,Unknown,1066135,,,,23.925,22.636,22.358,
BACHELOR OF EDUCATION ARTS,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240135,,,,,26.687,27.652,27.526
BACHELOR OF EDUCATION ARTS,KIRINYAGA UNIVERSITY,Kirinyaga County,1079494,,,,,,26.153,28.171
BACHELOR OF EDUCATION (ARTS),TAITA TAVETA UNIVERSITY,Unknown,1091135,,,,,,22.358,26.314
BACHELOR OF EDUCATION(SCIENCE WITH IT),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,Siaya County,1053137,27.817,30.071,32.414,32.572,26.285,29.888,30.153
BACHELOR OF EDUCATION (SCIENCE),EGERTON UNIVERSITY,Nakuru County,1057137,33.069,34.8,36.557,36.528,33.763,35.282,35.289
BACHELOR OF EDUCATION (SCIENCE),RONGO UNIVERSITY,Unknown,1073137,25.172,26.986,30.95,31.536,22.636,27.259,28.565
BACHELOR OF EDUCATION (SCIENCE),MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082137,28.774,32.713,34.961,34.728,31.279,33.962,32.607
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF EDUCATION (SCIENCE),KISII UNIVERSITY,Kisii County,1087137,26.723,30.74,33.565,33.19,24.261,32.322,31.945
BACHELOR OF EDUCATION (SCIENCE),UNIVERSITY OF EMBU,Unknown,1093137,24.699,28.608,31.813,31.638,25.473,30.482,31.01
BACHELOR OF EDUCATION (SCIENCE),GARISSA UNIVERSITY,Garissa County,1096137,,25.229,25.54,24.252,22.636,22.358,23.419
BACHELOR OF EDUCATION (SCIENCE),CHUKA UNIVERSITY,Tharaka-Nithi County,1105137,31.271,33.426,35.439,35.27,34.073,35.446,34.392
BACHELOR OF EDUCATION (SCIENCE),KIBABII UNIVERSITY,Unknown,1108137,28.041,30.496,32.742,33.065,29.626,31.948,31.88
BACHELOR OF EDUCATION (SCIENCE),KENYATTA UNIVERSITY,Nairobi County,1111137,34.996,35.966,37.8,37.373,37.272,37.778,37.208
BACHELOR OF EDUCATION (SCIENCE),UNIVERSITY OF ELDORET,Uasin Gishu County,1114137,28.841,32.235,34.52,34.594,32.202,34.416,32.77
BACHELOR OF EDUCATION (SCIENCE),PWANI UNIVERSITY,Unknown,1117137,28.773,30.385,32.829,32.87,31.792,31.965,31.292
BACHELOR OF EDUCATION (SCIENCE),UNIVERSITY OF KABIANGA,Kericho County,1118137,25.999,30.917,33.544,32.912,25.753,31.504,31.005
BACHELOR OF EDUCATION (SCIENCE),MAASAI MARA UNIVERSITY,Unknown,1165137,24.413,30.596,33.186,32.358,24.921,32.02,31.29
BACHELOR OF EDUCATION (SCIENCE),SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166137,25.151,28.176,30.28,30.854,24.653,24.438,27.259
BACHELOR OF EDUCATION (SCIENCE),MACHAKOS UNIVERSITY,Machakos County,1170137,30.272,31.56,33.885,32.826,30.845,33.362,31.551
BACHELOR OF EDUCATION (SCIENCE),LAIKIPIA UNIVERSITY,Unknown,1176137,28.162,31.346,33.814,32.239,29.081,31.823,31.846
"BACHELOR OF EDUCATION (SCIENCE, WITH IT)",MASENO UNIVERSITY,Kisumu County,1229137,31.124,33.475,35.768,36.089,34.932,36.459,35.041
